id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_res_partner_franchise,res.partner.franchise.access,base.model_res_partner,proinca_franchise.franchise_group,1,1,1,0
access_crm_lead_franchise,crm.leadr,crm.model_crm_lead,proinca_franchise.franchise_group,1,1,1,0
access_sale_order_franchise2,sale.order,sale.model_sale_order,proinca_franchise.franchise_group,1,1,1,0
access_sale_order_line_franchise,sale.order.line,sale.model_sale_order_line,proinca_franchise.franchise_group,1,1,1,1
access_account_invoice_franchise2,account.invoice,account.model_account_invoice,proinca_franchise.franchise_group,1,0,0,0
access_account_invoice_line_franchise,account.invoice.line,account.model_account_invoice_line,proinca_franchise.franchise_group,1,1,1,0
access_account_move_franchise2,account.move,account.model_account_move,proinca_franchise.franchise_group,1,1,1,0
access_account_move_line_franchise,account.move.line,account.model_account_move_line,proinca_franchise.franchise_group,1,1,1,1
access_account_invoice_line_tax_franchise,account.invoice.tax,account.model_account_invoice_tax,proinca_franchise.franchise_group,1,0,0,0
access_sale_order_franchise,sale.order.franchise,model_sale_order_franchise,proinca_franchise.franchise_group,1,0,0,0
access_sale_order_franchise_line,sale.order.franchise.line,model_sale_order_franchise_line,proinca_franchise.franchise_group,1,0,0,0
access_sale_order_franchise_mg,sale.order.franchise,model_sale_order_franchise,proinca_franchise.franchise_manager_group,1,1,1,1
access_sale_order_franchise_line_mg,sale.order.franchise.line,model_sale_order_franchise_line,proinca_franchise.franchise_manager_group,1,1,1,1
access_sale_order_franchise_cg,sale.order.franchise,model_sale_order_franchise,proinca_franchise.franchise_create_cg_group,1,1,1,1
access_sale_order_franchise_line_cg,sale.order.franchise.line,model_sale_order_franchise_line,proinca_franchise.franchise_create_cg_group,1,1,1,1
access_invoicing_canon_comercial,invoicing.canon.comercial,model_invoicing_canon_comercial,proinca_franchise.franchise_manager_group,1,1,1,1
access_invoicing_canon_comercial_line,invoicing.canon.comercial.line,model_invoicing_canon_comercial_line,proinca_franchise.franchise_manager_group,1,1,1,1
access_invoicing_canon_comercial_detail,invoicing.canon.comercial.detail,model_invoicing_canon_comercial_detail,proinca_franchise.franchise_manager_group,1,1,1,1
access_invoicing_canon_comercial_canon,invoicing.canon.comercial.canon,model_invoicing_canon_comercial_canon,proinca_franchise.franchise_manager_group,1,1,1,1
access_crm_payment_mode_franchise,crm.payment.mode,crm.model_crm_payment_mode,,proinca_franchise.franchise_group,1,0,0,0